code,description_en,description_uk,parent_code
PBMB,Trigonometry,Тригонометрія,PBM
PBMH,Euclidean geometry,Евклідова геометрія,PBM
PBML,Non-Euclidean geometry,Неевклідова геометрія,PBM
PBMP,Differential and Riemannian geometry,Диференціальна та риманова геометрія,PBM
PBMS,Analytic geometry,Аналітична геометрія,PBM
PBMW,Algebraic geometry,Алгебраїчна геометрія,PBM
PBMX,Fractal geometry,Фрактальна геометрія,PBM
PBP,Topology,Топологія,PB
PBPD,Algebraic topology,Алгебраїчна топологія,PBP
PBPH,Analytic topology,Аналітична топологія,PBP
PBT,Probability and statistics,Ймовірність і статистика,PB
PBTB,Bayesian inference,Байєсівський висновок,PBT
PBU,Optimization,Оптимізація,PB
PBUD,Game theory,Теорія ігор,PBU
PBUH,Linear programming,Лінійне програмування,PBU
PBV,Combinatorics and graph theory,Комбінаторика і теорія графів,PB
PBW,Applied mathematics,Прикладна математика,PB
PBWH,Mathematical modelling,Математичне моделювання,PBW
PBWL,Stochastics,Стохастика,PBW
PBWR,Nonlinear science,Нелінійна наука,PBW
PBWS,Chaos theory,Теорія хаосу,PBW
PBWX,Fuzzy set theory,Теорія нечітких множин,PBW
PBX,History of mathematics,Історія математики,PB
PD,Science: general issues,Наука: загальні питання,P
PDA,Philosophy of science,Філософія науки,PD
PDC,Scientific nomenclature and classification,Наукова номенклатура і класифікація,PD
PDD,"Scientific standards, measurement etc","Наукові стандарти, вимірювання тощо",PD
PDE,Maths for scientists,Математика для науковців,PD
PDG,Industrial applications of scientific research and technological innovation,Промислове застосування наукових досліджень і технологічних інновацій,PD
PDJ,Regulation of science and experimentation,Регулювання наукових досліджень та експериментів,PD
PDK,Science funding and policy,Фінансування науки та політика,PD
PDM,Scientific research,Наукові дослідження,PD
PDN,"Scientific equipment, experiments and techniques","Наукове устаткування, експерименти, методи",PD
PDND,Microscopy,Microscopy,PDN
PDR,Impact of science and technology on society,Вплив науки та технологій на суспільство,PD
PDT,Nanosciences,Нанонауки,PD
PDX,History of science,Історія науки,PD
PDZ,Popular science,Популяризація науки,PD
PDZM,Popular and recreational mathematics,Популярна і рекреаційна математика,PDZ
PG,"Astronomy, space and time","Астрономія, простір і час",P
PGC,Theoretical and mathematical astronomy,Теоретична та математична астрономія,PG
PGG,"Astronomical observation: observatories, equipment and methods","Астрономічні спостереження: обсерваторії, обладнання, методи",PG
PGK,Cosmology and the universe,Космологія та Всесвіт,PG
PGM,Galaxies and stars,Галактики та зорі,PG
PGS,Solar system: the Sun and planets,Сонячна система: Сонце і планети,PG
PGT,Astronomical charts and atlases,Астрономічні карти й атласи,PG
PGZ,"Time (chronology), time systems and standards","Час (хронологія), часові системи та стандарти",PG
PH,Physics,Фізика,P
PHD,Classical mechanics,Класична механіка,PH
PHDB,Elementary mechanics,Елементарна механіка,PHD
PHDD,Analytical mechanics,Аналітична механіка,PHD
PHDF,Physics: Fluid mechanics,Фізика: гідравлічна механіка,PHD
PHDS,Wave mechanics (vibration and acoustics),Хвильова механіка (вібрація та акустика),PHD
PHDT,Dynamics and statics,Динаміка і статика,PHD
PHDV,Gravity,Сила тяжіння,PHD
PHDY,Energy,Енергія,PHD
PHF,Materials / States of matter,Речовини. Стан речовин,PH
PHFB,Low temperature physics,Фізика низьких температур,PHF
PHFC,Condensed matter physics (liquid state and solid state physics),Фізика конденсованого стану (рідкий стан та фізика твердого стану),PHF
PHFC1,Soft matter physics,Фізика м’якої речовини,PHFC
PHFC2,Mesoscopic physics,Мезоскопічна фізика,PHFC
PHFG,Physics of gases,Фізика газів,PHF
PHFP,Plasma physics,Фізика плазми,PHF
PHH,Thermodynamics and heat,Термодинаміка і тепло,PH
PHJ,Optical physics,Оптична фізика,PH
PHJL,Laser physics,Лазерна фізика,PHJ
PHK,"Electricity, electromagnetism and magnetism","Електрика, електромагнетизм і магнетизм",PH
PHM,Atomic and molecular physics,Атомна і молекулярна фізика,PH
PHN,Nuclear physics,Ядерна фізика,PH
PHP,Particle and high-energy physics,Фізика елементарних частинок і високих енергій,PH
PHQ,Quantum physics (quantum mechanics and quantum field theory),Квантова фізика (квантова механіка і квантова теорія поля),PH
PHR,Relativity physics,Релятивістська фізика,PH
PHS,Statistical physics,Статистична фізика,PH
PHU,Mathematical / Computational / Theoretical physics,Математична фізика,PH
PHV,Applied physics,Прикладна фізика,PH
PHVB,Astrophysics,Астрофізика,PHV
PHVD,Medical physics,Медична фізика,PHV
PHVG,Geophysics,Геофізика,PHV
PHVJ,Atmospheric physics,Фізика атмосфери,PHV
PHVN,Biophysics,Біофізика,PHV
PHVQ,Chemical physics,Хімічна фізика,PHV
PHVS,Cryogenics,Кріогеніка,PHV
PN,Chemistry,Хімія,P
PNA,Periodic table of the Elements,Periodic table of the Elements,PN
PNB,Medicinal chemistry,Медична хімія,PN
PNC,Environmental chemistry,Хімія навколишнього середовища (хімія довкілля). Екохімія,PN
PND,Food chemistry / Food science,Хімія харчових продуктів,PN
PNF,Analytical chemistry,Аналітична хімія,PN
PNFC,Chromatography,Хроматографія,PNF
PNFR,Magnetic resonance,Магнітний резонанс,PNF
PNFS,"Spectrum analysis, spectrochemistry, mass spectrometry",Спектральний аналіз. Спектрохімія. Мас-спектрометрія,PNF
PNK,Inorganic chemistry,Неорганічна хімія,PN
PNN,Organic chemistry,Органічна хімія,PN
PNND,Organometallic chemistry,Металоорганічна хімія,PNN
PNNP,Polymer chemistry,Хімія полімерів,PNN
PNR,Physical chemistry,Фізична хімія,PN
PNRA,Computational chemistry,Обчислювальна хімія,PNR
PNRC,Colloid chemistry,Колоїдна хімія,PNR
PNRD,Catalysis,Каталіз,PNR
PNRD1,Bio-catalysis,Біокаталіз,PNRD
PNRE,Experimental chemistry,Експериментальна хімія,PNR
PNRH,Electrochemistry and magnetochemistry,Електрохімія та магнітохімія,PNR
PNRL,"Nuclear chemistry, photochemistry and radiation","Ядерна хімія, фотохімія та радіація",PNR
PNRP,Quantum and theoretical chemistry,Квантова і теоретична хімія,PNR
PNRR,Physical organic chemistry,Фізична органічна хімія,PNR
PNRS,Solid state chemistry,Хімія твердих тіл,PNR
PNRW,Thermochemistry and chemical thermodynamics,Термохімія та хімічна термодинаміка,PNR
PNRX,Surface chemistry and adsorption,Хімія поверхні та адсорбція,PNR
PNT,Crystallography,Кристалографія,PN
PNV,"Chemistry of minerals, crystals and gems","Хімія мінералів, кристалів і коштовного каміння",PN
PS,"Biology, life sciences",Науки про життя. Біологія,P
PSA,Life sciences: general issues,Науки про життя: загальні питання,PS
PSAB,Taxonomy and systematics,Таксономія та систематика,PSA
PSAD,Bioethics,Біоетика,PSA
PSAF,"Ecological science, the Biosphere",Екологічні науки. Біосфера,PSA
PSAG,Xenobiotics,Ксенобіотики,PSA
PSAJ,Evolution / Evolutionary biology,Еволюція,PSA
PSAK,Genetics (non-medical),Генетика (не медична),PSA
PSAN,Neurosciences,Нейронауки,PSA
PSAN1,Cellular and molecular neuroscience,Клітинні та молекулярні нейронауки,PSAN
PSAN2,Developmental neuroscience,Нейронауки розвитку,PSAN
PSAN3,Neuroimaging and neuroanatomy,Нейровізуалізація та нейроанатомія,PSAN
PSAN4,Sensory and motor systems,Сенсорні та рухові системи,PSAN
PSAN5,Cognitive and behavioural neuroscience,Когнітивна та поведінкова нейронауки,PSAN
PSAX,Computational biology / bioinformatics,Обчислювальна біологія / біоінформатика,PSA
PSB,Biochemistry,Біохімія,PS
PSBD,Phytochemistry,Phytochemistry,PSB
PSC,Developmental biology,Біологія розвитку,PS
PSD,Molecular biology,Молекулярна біологія,PS
PSE,Chemical biology,Хімічна біологія,PS
PSF,Cellular biology (cytology),Клітинна біологія / цитологія,PS
PSG,Microbiology (non-medical),Мікробіологія (не медична),PS
PSGN,Protozoa,Найпростіші,PSG
PSP,Hydrobiology,Гідробіологія,PS
PSPA,Phycology (algae and seaweed),Альгологія (водорості),PSP
PSPF,Freshwater biology,Біологія прісних водойм / прісноводна біологія,PSP
PSPM,Marine biology,Біологія океану / морська біологія,PSP
PSQ,"Mycology, fungi",Мікологія. Гриби,PS
PST,Botany and plant sciences,Ботаніка та науки про рослини,PS
PSTB,Plant biology,Біологія рослин. Ботаніка,PST
PSTH,Flowering plants (angiosperms),Квітучі рослини (покритонасінні),PST
PSTJ,Conifers and gymnosperms,Хвойні та голонасінні,PST
PSTM,"Ferns, mosses and liverworts","Папороті, мохи та печінковики",PST
PSV,Zoology and animal sciences,Зоологія та науки про тварин,PS
PSVA,Zoology: invertebrates,Зоологія: безхребетні,PSV
PSVA2,Insects (entomology),Ентомологія. Комахи,PSVA
PSVA4,Crustaceans (carcinology),Карцинологія. Ракоподібні,PSVA
PSVA6,Molluscs (malacology),Малакологія. Молюски,PSVA
PSVA8,Arachnids (arachnology),"Арахнологія. Павукоподібні, арахніди",PSVA
PSVC,Zoology: fishes (ichthyology),Зоологія: риби (іхтіологія),PSV
PSVF,Zoology: amphibians and reptiles (herpetology),Зоологія: земноводні (амфібії) та плазуни (рептилії). Герпетологія,PSV
PSVJ,Zoology: birds (ornithology),Зоологія: птахи (орнітологія),PSV
PSVM,Zoology: mammals (mammalogy),Зоологія: ссавці (теріологія),PSV
PSVM1,Zoology: marsupials and monotremes,Зоологія: сумчасті та однопрохідні,PSVM
PSVM2,Zoology: marine and freshwater mammals,Зоологія: морські та прісноводні ссавці,PSVM
PSVM3,Zoology: primates (primatology),Зоологія: примати (приматологія),PSVM
PSVP,Ethology and animal behaviour,Етологія та поведінка тварин,PSV
PSX,Human biology,Біологія людини,PS
PSXE,Evolutionary anthropology / Human evolution,Еволюційна антропологія,PSX
Q,Philosophy and Religion,Філософія та релігія,
QD,Philosophy,Філософія,Q
QDH,Philosophical traditions and schools of thought,Філософські традиції та школи думки,QD
QDHA,Ancient Greek and Roman philosophy,Філософія Стародавніх Греції та Риму,QDH
QDHC,East Asian and Indian philosophy,Філософія Східної Азії та Індії,QDH
QDHC2,Yoga (as a philosophy),Йога (як філософія),QDHC
QDHF,Medieval Western philosophy,Середньовічна західна філософія,QDH
QDHH,Humanist philosophy,Гуманістична філософія,QDH
QDHK,Islamic and Arab philosophy,Ісламська та арабська філософія,QDH
QDHL,Jewish philosophy,Іудейська філософія,QDH
QDHM,Western philosophy: Enlightenment,Західна філософія: просвітництво,QDH
QDHP,African philosophy,Африканська філософія,QDH
QDHR,Western philosophy from c 1800,Західна філософія з 1800 р.,QDH
QDHR1,Idealism,Ідеалізм,QDHR
QDHR3,Pragmatism,Прагматизм,QDHR
QDHR5,Phenomenology and Existentialism,Феноменологія та екзистенціалізм,QDHR
QDHR7,Structuralism and Post-structuralism,Структуралізм та постструктуралізм,QDHR
QDHR9,Analytical philosophy and Logical Positivism,Аналітична філософія та логічний позитивізм,QDHR
QDT,Topics in philosophy,Філософські теми,QD
QDTJ,Philosophy: metaphysics and ontology,Філософія: метафізика та онтологія,QDT
QDTK,Philosophy: epistemology and theory of knowledge,Філософія: епістемологія та теорія пізнання,QDT
QDTL,Philosophy: logic,Філософія: логіка,QDT
QDTM,Philosophy of mind,Філософія думки,QDT
QDTN,Philosophy: aesthetics,Філософія: естетика,QDT
QDTQ,Ethics and moral philosophy,Етика та моральна філософія,QDT
QDTS,Social and political philosophy,Соціальна та політична філософія,QDT
QDTS1,Critical theory,Critical theory,QDTS
QDX,Popular philosophy,Популярна філософія,QD
QDXB,Popular philosophy: Meaning of life / finding sense in life,Popular philosophy: Meaning of life / finding sense in life,QDX
QR,Religion and beliefs,Релігія та віра,Q
QRA,Religion: general,Релігія: загальні питання,QR
QRAB,Philosophy of religion,Філософія релігії,QRA
QRAB1,Nature and existence of God and of the Divine,Існування та сутність бога,QRAB
QRAB7,Religion: Sin / salvation,Religion: Sin / salvation,QRAB
QRAB9,Religion: Eschatology,Religion: Eschatology,QRAB
QRAC,Comparative religion,Порівняльне релігієзнавство,QRA
QRAF,Interfaith relations,Міжконфесійні відносини,QRA
QRAM,Religious issues and debates,Релігійні питання і дискусії,QRA
QRAM1,Religious ethics,Релігійна етика,QRAM
QRAM2,Religion and politics,Релігія і політика,QRAM
QRAM3,Religion and science,Релігія і наука,QRAM
QRAM6,Religious fundamentalism,Релігійний фундаменталізм,QRAM
QRAM7,"Blasphemy, heresy, apostasy","Святотатство, богохульство. Єресь. Віровідступництво",QRAM
QRAM9,"Religious intolerance, persecution and conflict","Релігійна нетерпимість / інтолерантність, переслідування та конфлікти",QRAM
QRAX,History of religion,Історія релігії,QRA
QRD,Hinduism,Індуїзм,QR
QRDB,Hinduism: branches and groups,Індуїзм: напрями та течії,QRD
QRDF,Hinduism: sacred texts and revered writings,Індуїстські священні тексти та шановані твори,QRD
QRDF1,"Hindu texts: Vedas, Upanishads","Індуїстські священні тексти: Веди, Упанішади",QRDF
QRDF2,Hindu texts: Bhagavad Gita,Індуїстські священні тексти: Бгаґавад-Ґіта,QRDF
QRDP,Hindu life and practice,Індуїстське життя і практика,QRD
QRF,Buddhism,Буддизм,QR
QRFB,Buddhism: branches and groups,Буддизм: напрями та течії,QRF
QRFB1,Theravada Buddhism,Буддизм Тгеравади,QRFB
QRFB2,Mahayana Buddhism,Буддизм Магаяни (Махаяни),QRFB
QRFB21,Tibetan Buddhism,Тибетський буддизм,QRFB2
QRFB23,Zen Buddhism,Дзен-буддизм,QRFB2
QRFF,Buddhism: sacred texts and revered writings,Буддистські священні тексти та шановані твори,QRF
QRFP,Buddhist life and practice,Буддистське життя і практика,QRF
QRJ,Judaism,Іудаїзм,QR
QRJB,Judaism: branches and groups,Іудаїзм: напрями та течії,QRJ
QRJB1,Orthodox Judaism,Ортодоксальний іудаїзм,QRJB
QRJB2,Masorti Judaism,Консервативний іудаїзм,QRJB
QRJB3,Liberal and Reform Judaism,Ліберальний і реформістський іудаїзм,QRJB
QRJF,Judaism: sacred texts and revered writings,Іудаїзм: священні тексти та шановані твори,QRJ
QRJF1,"Jewish texts: Tanakh, Torah, Nevi’im, Ketuvim","Іудаїстські тексти: Танах, Тора, Невіїм, Ктувім",QRJF
QRJF5,Rabbinic literature,Рабиністична (раввинська) література,QRJF
QRJP,Judaism life and practice,Іудаїзм: життя та практика,QRJ
QRM,Christianity,Християнство,QR
QRMB,"Christian Churches, denominations, groups","Християнські церкви, конфесії (деномінації), течії",QRM
QRMB1,"Roman Catholicism, Roman Catholic Church",Католицизм. Католицька церква,QRMB
QRMB2,Orthodox and Oriental Orthodox Churches,Православ’я. Православна (ортодоксальна) та орієнтальна православна церкви,QRMB
QRMB3,Protestantism and Protestant Churches,Протестантизм. Протестантська церква,QRMB
QRMB31,Anglican and Episcopalian Churches,Англіканська та єпископальна церкви,QRMB3
QRMB32,Baptist Churches,Баптизм. Баптистська церква,QRMB3
QRMB33,"Calvinist, Reformed and Presbyterian Churches","Кальвінізм. Реформатство. Пресвітеріанство. Кальвіністична, реформатська та пресвітеріанська церкви",QRMB3
QRMB34,Lutheran Churches,Лютеранство. Лютеранська церква,QRMB3
QRMB35,Methodist Churches,Методизм. Методистська церква,QRMB3
QRMB36,Pentecostal or Charismatic Churches,П’ятдесятництво. Церква п’ятидесятників,QRMB3
QRMB37,Quakers (Religious Society of Friends),Квакери. Релігійна Спілка друзів,QRMB3
QRMB38,Anabaptism and Anabaptist Churches,Anabaptism and Anabaptist Churches,QRMB3
QRMB39,Other Nonconformist and Evangelical Churches,Інші нонконформістські та євангельські церкви,QRMB3
QRMB5,Denominations of American origin,Конфесії (деномінації) американського походження,QRMB
QRMB8,Christian and quasi-Christian cults and sects,Християнські та квазіхристиянські культи й секти,QRMB
QRMB9,Ecumenism,Екуменізм,QRMB
QRMF,Christianity: sacred texts and revered writings,Християнство: священні тексти та шановані твори,QRM
QRMF1,Bibles,Біблія,QRMF
QRMF12,Old Testaments,Старий Завіт / Заповіт,QRMF1
QRMF13,New Testaments,Новий Завіт / Заповіт,QRMF1
QRMF14,Biblical Apocrypha and Intertestamental,Біблійний апокриф і міжзавітний період,QRMF1
QRMF19,"Bible readings, selections and meditations",Читання Біблії. Вибране. Молитви / роздуми над одкровеннями Бога,QRMF1
QRMF3,Writings of the Early Church Fathers,Твори Отців Церкви,QRMF
QRMP,Christian life and practice,Християнське життя і практика,QRM
QRMP1,Christian sacraments,Християнські таїнства,QRMP
QRP,Islam,Іслам,QR
QRPB,Islam: branches and groups,Іслам: напрями та течії,QRP
QRPB1,"Islamic groups: Sunni, Alsalaf","Ісламські течії: сунізм, салафізм",QRPB
QRPB2,"Islamic groups: Khawarij, Kharijite",Ісламські течії: хаваріджи / харіджити (хариджити),QRPB
QRPB3,"Islamic groups: Shi’ah, Shi’ite",Ісламські течії: шиїзм,QRPB
QRPB4,Islamic groups: Sufis,Ісламські течії: суфізм,QRPB
QRPF,Islam: sacred texts and revered writings,Ісламські священні тексти та шановані твори,QRP
QRPF1,The Koran (Qur’an),Коран,QRPF
QRPF2,Hadith,Хадис,QRPF
QRPP,Islamic life and practice,Ісламське життя і практика,QRP
QRR,"Further religions and spiritual beliefs,",Інші релігії та духовні вірування,QR
QRRB,Baha’i,Бахаїзм,QRR
QRRC,Jainism,Джайнізм,QRR
QRRD,Sikhism,Сикхізм,QRR
QRRF,Zoroastrianism,Зороастризм,QRR
QRRL,East Asian religions and spiritual beliefs,Релігії Східної Азії,QRR
QRRL1,Confucianism,Конфуціанство,QRRL
QRRL3,Shintoism,Синтоїзм / синто,QRRL
QRRL5,Taoism,Даосизм,QRRL
QRRL6,Chinese folk religion / Chinese Mythology,Китайська традиційна релігія,QRRL
QRRM,Afro-American / African diaspora religions,Афро-американські релігії,QRR
QRRN,Traditional African religions and spiritual beliefs,Традиційні африканські релігії та духовні вірування,QRR
QRRT,"Indigenous peoples: religions, belief systems, cultural worldviews and spiritual beliefs","Інші місцеві, етнічні й традиційні релігії та духовні вірування",QRR
QRRT1,"Indigenous peoples in the Americas: religions, belief systems, cultural worldviews and spiritual beliefs",Релігії та міфологія доколумбового періоду,QRRT
QRRV,Animism / Shamanism,Анімізм. Шаманізм,QRR
QRS,Ancient religions and Mythologies,Стародавні релігії та міфологія,QR
QRSA,Ancient Egyptian religion and mythology,Релігія та міфологія Стародавнього Єгипту,QRS
QRSG,Ancient Greek religion and mythology,Релігія та міфологія Стародавньої Греції,QRS
QRSL,Roman religion and mythology,Релігія та міфологія Стародавнього Риму,QRS
QRST,Celtic religion and mythology,Кельтська релігія та міфологія,QRS
QRSV,Slavic religion and mythology,Слов’янська релігія та міфологія,QRS
QRSW,Norse religion and mythology,Скандинавська релігія та міфологія,QRS
QRV,Aspects of religion,Аспекти релігії,QR
QRVA,"Sacred texts, scriptures and revered writings","Священні / сакральні тексти, книги, писання, шановані твори",QRV
QRVA2,"Readings, selections and meditations from sacred texts",Читання священних текстів. Вибране. Молитви / роздуми над одкровеннями Бога,QRVA
QRVB,Sacred stories / sacred histories,Sacred stories / sacred histories,QRV
QRVC,Criticism and exegesis of sacred texts,Критика та екзегеза священних текстів,QRV
QRVD,Religious doctrines,Релігійні доктрини,QRV
QRVG,Theology,Теологія,QRV
QRVG2,Systematic theology / Dogmatics,Systematic theology / Dogmatics,QRVG
QRVG3,Practical theology / Pastoral Theology,Practical theology / Pastoral Theology,QRVG
QRVH,Sermons,Проповіді,QRV
QRVJ,Prayers and liturgical material,Молитви та літургійні тексти (богослужбова література),QRV
QRVJ1,"Worship, rites, ceremonies and rituals","Богослужіння, обряди, церемонії, ритуали",QRVJ
QRVJ2,Prayer and prayer books,Молитва. Молитовники,QRVJ
QRVJ3,Devotional material,Молитовний матеріал,QRVJ
QRVK,Spirituality and religious experience,Духовний і релігійний досвід,QRV
QRVK2,Mysticism,Містицизм,QRVK
QRVK4,"Miracles, apparitions and religious phenomena",Дива. Видіння. Релігійні явища,QRVK
QRVL,Religion: death and dying,Religion: death and dying,QRV
QRVP,Religious life and practice,Релігійне життя і практика,QRV
QRVP1,Pilgrimage,Паломництво,QRVP
QRVP2,Religious Festivals,Релігійні свята,QRVP
QRVP3,Religious instruction,Релігійне навчання / виховання / просвіта,QRVP
QRVP4,Fasting and abstinence,Піст і стриманість,QRVP
QRVP5,Religious counselling,Релігійні настанови,QRVP
QRVP7,"Religious aspects of sexuality, gender and relationships","Релігійні аспекти статевої ідентичності, гендеру та стосунків",QRVP
QRVQ,Religious sites / Holy or sacred places,Religious sites / Holy or sacred places,QRV
QRVS,Religious institutions and organizations,Релігійні заклади та організації,QRV
QRVS1,Religious and spiritual figures,Релігійні та духовні діячі,QRVS
QRVS2,Religious social and pastoral thought and activity,Релігійні соціальні та пастирські погляди й діяльність,QRVS
QRVS3,Religious ministry and clergy,Релігійні священнослужителі та духовенство (духівництво),QRVS
QRVS4,Religious mission and Religious Conversion,Релігійне місіонерство. Навернення в релігію,QRVS
QRVS5,Religious communities and monasticism,Релігійні громади. Чернецтво,QRVS
QRVX,Personal religious testimony and popular inspirational works,Особисте релігійне свідчення та популярні натхненні праці,QRV
QRY,Alternative belief systems and spiritual worldviews,Альтернативні системи вірувань,QR
QRYA,Humanist and secular alternatives to religion,Гуманістичні та секулярні альтернативи релігії,QRY
QRYA5,Agnosticism and atheism,Агностицизм і атеїзм,QRYA
QRYC,Eclectic and esoteric religions and belief systems,Еклектичні й езотеричні релігії та системи вірувань,QRY
QRYC1,Gnosticism,Гностицизм,QRYC
QRYC5,Theosophy and Anthroposophy,Теософія. Антропософія,QRYC
QRYM,Contemporary non-Christian and para-Christian cults and sects,Сучасні нехристиянські й парахристиянські культи та секти,QRY
QRYM2,Spiritualism,Спірітуалізм,QRYM
QRYX,Occult studies / Supernatural studies,Окультизм,QRY
QRYX2,"Magic, alchemy and hermetic thought",Магія. Алхімія. Герметизм / герметика / герметичне вчення,QRYX
QRYX5,Witchcraft / Witches,Чаклунство,QRYX
QRYX9,Satanism / demonology,Сатанізм. Демонологія,QRYX
R,"Earth Sciences, Geography, Environment, Planning",Науки про Землю. Географія. Науки про довкілля. Просторове планування / землеустрій,
RB,Earth sciences,Науки про Землю,R
RBC,Volcanology and seismology,Вулканологія та сейсмологія,RB
RBG,"Geology, geomorphology and the lithosphere","Геологія, геоморфологія та літосфера",RB
RBGB,Sedimentology and pedology,Седиментологія та педологія,RBG
RBGD,Geomorphology and geological surface processes,Геоморфологія та геологічні процеси на поверхні земної кори,RBG
RBGF,Historical geology and palaeogeology,Історична геологія. Палеонтологія,RBG
RBGG,"Petrology, petrography and mineralogy",Петрологія. Петрографія. Мінералогія,RBG
RBGH,Stratigraphy,Стратиграфія,RBG
RBGK,Geochemistry,Геохімія,RBG
RBGL,Economic geology,Економічна геологія,RBG
RBK,Hydrology and the hydrosphere,Гідрологія та гідросфера,RB
RBKC,Oceanography (seas and oceans),Океанографія (моря та океани),RBK
RBKF,Limnology (inland waters),Лімнологія / озерознавство (внутрішні води),RBK
RBP,Meteorology and climatology,Метеорологія. Кліматологія,RB
RBPC,Climatology and climate modelling,Кліматологія та кліматичне моделювання,RBP
RBPM,Meteorology,Метеорологія,RBP
RBX,Palaeontology,Палеонтологія,RB
RG,Geography,Географія,R
RGB,Physical geography and topography,Фізична географія і топографія,RG
RGBA,"Arid zones, deserts","Аридні області, пустелі",RGB
RGBC,Plains and grasslands,"Рівнини та луки, степи",RGB
RGBC1,Prairies,Прерії,RGBC
RGBC2,Savanna,Савана,RGBC
RGBD,Tundra,Тундра,RGB
RGBF,"Wetlands, swamps, fens",Заболочені місцевості. Болота,RGB
RGBG,Rivers and lakes,Річки та озера,RGB
RGBL,Forests and woodland,Ліси й лісові місцевості,RGB
RGBL1,Rainforest,Дощові ліси,RGBL
RGBL2,Mixed forest,Мішані ліси,RGBL
RGBL3,Broadleaf forest,Широколистяні ліси,RGBL
RGBL4,"Boreal, coniferous forest",Тайга. Хвойні ліси,RGBL
RGBP,Coasts and Coastlines,Узбережжя,RGB
RGBP1,Coastal wetlands / tidal flats / mudflats,Coastal wetlands / tidal flats / mudflats,RGBP
RGBQ,Islands,Islands,RGB
RGBR,Coral reefs,Коралові рифи,RGB
RGBS,Mountains and uplands,Гори,RGB
RGBU,Glaciers and ice caps,Льодовики. Льодовикові шапки,RGB
RGC,Human geography,Економічна та соціальна географія / антропогеографія / «людська географія»,RG
RGCD,Development and environmental geography,Географія розвитку. Інтегрована географія / екологічна географія / географія соціального оточення,RGC
RGCG,Population and migration geography,Географія населення та міграцій,RGC
RGCM,Economic geography,Економічна географія,RGC
RGCP,Political geography,Політична географія,RGC
RGCS,Social geography,Соціальна географія,RGC
RGCT,Tourism geography,Географія туризму,RGC
RGCU,"Settlement, urban and rural geography",Географія поселень. Геоурбаністика. Географія сільських місцевостей,RGC
RGL,Regional geography,Регіональна географія,RG
RGM,Biogeography,Біогеографія,RG
RGR,Geographical discovery and exploration,Географічні відкриття і дослідження,RG
RGV,"Cartography, map-making and projections",Картографія. Картографування. Картографічна проекція,RG
RGW,"Geographical information systems, geodata and remote sensing",Географічні інформаційні системи. Дистанційне зондування Землі,RG
RGX,Geographical reference works,Географічні довідники,RG
RGXB,World / regional atlases or maps,Атласи світу. Мапи світу,RGX
RGXH,Topographic / thematic / specialist maps,Географічні мапи (спеціалізовані),RGX
RGXM,"Naval, nautical and marine charts",Військово-морські мапи. Морські мапи,RGX
RGXP,Place names and gazetteers,Географічні назви. Газетири,RGX
RN,The environment,Довкілля / навколишнє природне середовище,R
RNA,Environmentalist thought and ideology,Енвайронменталістична (екологічна) думка та ідеологія. Екологізм,RN
RNB,"Environmentalist, conservationist and Green organizations","Організації екологів, захисників природи. Організації із захисту довкілля. «Зелені» організації",RN
RNC,Applied ecology,Прикладна екологія,RN
RNCB,Biodiversity / Ecosystems,Біорізноманітність,RNC
RND,Environmental policy and protocols,Політика щодо довкілля (екологічна політика) та природоохоронні / екологічні протоколи,RN
RNF,Environmental management,Екологічний менеджмент,RN
RNFD,Drought and water supply,Посуха і забезпечення водою (водопостачання),RNF
RNFF,Food security and supply,Продовольча безпека. Продовольче забезпечення,RNF
RNFY,Energy resources,Енергетичні ресурси (енергоресурси),RNF
RNH,Waste management,Утилізація / перероблення / видалення відходів,RN
RNK,Conservation of the environment,Охорона / збереження довкілля,RN
RNKH,Conservation of wildlife and habitats,Охорона / збереження дикої природи і середовища існування,RNK
RNKH1,Endangered species and extinction of species,Вимирання видів. Види під загрозою вимирання,RNKH
RNKH2,Restoration ecology / rewilding,Restoration ecology / rewilding,RNKH
RNP,Pollution and threats to the environment,Забруднення та шкода довкіллю,RN
RNPD,Deforestation,Знищення / вирубування лісів. Знеліснення,RNP
RNPG,Climate change,Зміни клімату,RNP
RNQ,Nuclear issues,Ядерні проблеми,RN
RNR,Natural disasters,"Природні катастрофи, стихійні лиха",RN
RNT,Social impact of environmental issues,Соціальні наслідки екологічних проблем,RN
RNU,Sustainability,Сталість довкілля,RN
RP,Regional and area planning,Регіональне і територіальне планування,R
RPC,Urban and municipal planning and policy,Міське та муніципальне планування і політика,RP
RPG,Rural planning and policy,Сільське планування і політика,RP
RPT,Transport planning and policy,Транспортне планування і політика,RP
S,Sports and Active outdoor recreation,Спорт і активний відпочинок на відкритому повітрі,
SC,Sport: general,Спорт: загальні питання,S
SCB,Sporting events and management,Спортивні заходи й управління (спортивний менеджмент),SC
SCBB,Olympic and Paralympic games,Олімпійські та Паралімпійські ігри,SCB
SCBC,World Cups and World championships,Кубки світу. Світові чемпіонати,SCB
SCBG,Sports governing bodies,Органи управління спортом,SCB
SCBM,Sports management and facilities,Управління спортом (спортивний менеджмент) і спортивні споруди,SCB
SCBT,Sports teams and clubs,Спортивні команди. Спортивні клуби,SCB
SCBV,Sporting venues,Спортивні споруди,SCB
SCG,Sports training and coaching,Спортивне тренування і тренерство,SC
SCGF,"Sport science, physical education",Спортивна наука і фізичне виховання (фізична культура),SCG
